,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
37533,Registered Nurse - RN - Weekend Shift,The Waters of Martinsville,Martinsville,Indiana,"


Registered Nurse - RN - Weekend Shift





The Waters of Martinsville has several openings for WEEKEND SHIFT Registered Nurses at our long-term care facility in Martinsville, IN.    


Ideal candidates must possess the ability to make independent decisions when circumstances warrant such action as well as patience, tact, a cheerful disposition and enthusiasm.  You will also direct the day-to-day functions of the nursing assistants in accordance with current state and federal rules and regulations.



    Responsible for providing direct daily care and services to patients according to care plans, standard policies and procedures and state and federal regulations.  This position ensures that the highest degree of quality care is maintained at all times and assists in the safety, comfort and well being of residents.
    
    Assists patients with basic personal care according to procedures and daily assignments. 
    
    Assists and/or transports/transfers patients to and from meals and activities.
    
    Provides general support and comfort to residents and assists the activities staff with social activities as needed.
",Part-Time,Not Specified
75835,ENTRY LEVEL CUSTOMER SERVICE / RETAIL REPS- HIRING IMMEDIATELY,AMGI,Beaumont,Texas,"ENTRY LEVEL CUSTOMER SERVICE / RETAIL / EVENT COORDINATION POSITIONS-HIRING NOW
THE SUMMER IS ALMOST HERE AND IT IS OUR BUSIEST TIME OF THE YEAR!









READY TO GET STARTED RIGHT AWAY?

WHY CHOOSE AMGI?



AMGI is one of the fastest growing firms in the BEAUMONT area and there is no stop in sight! We take our employees and turn them into exceptional representatives with a prestigious track record of success for all of our top clientele and Fortune 500 companies!







WHO ARE WE HIRING?



We are hiring entry level representatives, specifically customer service / public relations / sales / and advertising representatives that are looking to get started immediately. We provide full paid one on one training, as well as full time and part time positions that are ready to be filled by someone looking for unlimited growth in a potential career with our company. 









",Full-Time/Part-Time,Not Specified
27454,Retail Project Merchandiser Part Time,Advantage Sales & Marketing,Springfield,Massachusetts," Retail Merchandiser Project The Retail Project Merchandiser is responsible for calling in for project work for merchandising products at retail accounts within an assigned territory. Candidates that have excellent written and verbal communication and strong analytical and research skills are encouraged to apply. Retail Project Merchandiser Responsibilities Meet and achieve Client and Company objectives by maintaining full distribution on existing SKUs and ensuring signage are in place and the placement of new items at all assigned storesMaintain schematic standards and integrity through consistent communication with Retail Supervisor and other retail personnelDeep cleaning of existing sections and fixturesHang shelf signs, place coupons and assemble cardboard displays as directed by the clientTravel and driving are essential to this position Retail Project Merchandiser Qualifications High School Diploma or GED or equivalent experience requiredStrong analytical and research skillsFlexible and adaptable, able to change and alter according to changes in projects or business environment and able to complete multiple duties with accuracy shifting from one to another with frequent interruptions and competing deadlinesExcellent written communication and verbal communication skillsAbility to work independently and prioritize duties with minimal supervision, in order to meet deadlinesAbility to understand and follow specific instructions and proceduresEngage in physical activity, lift and/or push up to 50 pounds, stand, stoop and bend for long periods of time, potential use of cleaning chemicals and work in environments susceptible to temperature changes i.e. refrigerated and freezer sectionsBasic computer skills and Internet usage Advantage Sales & Marketing, LLC is proud to be an Equal Opportunity Employer








Responsibilities




Advantage Sales and Marketing, LLC (ASM) is one of North America’s leading sales and marketing agencies specializing in outsourced sales, merchandising, category management and marketing services to manufacturers, suppliers and producers of food products and consumer packaged goods. ASM services a variety of trade channels including grocery, mass merchandise, specialty, convenience, drug, dollar, club, hardware, consumer electronics and home centers. We bridge the gap between manufacturers and retailers, providing consumers access to the best products available in the marketplace today. Position Summary The Retail Project Merchandiser is responsible for calling in for project work for merchandising products at retail accounts within an assigned territory.                Essential Job Duties and Responsibilities New ItemsWill work on the achievement of business objectives through placement of new items at all assigned storesDistribution AuditsWill work to meet Client and Company objectives by maintaining full distribution on existing SKUs and ensuring signage are in placeReset Activity and Schematics CompletionMust be able to maintain schematic standards by ensuring all authorized items are in distribution and set to shelf standards Must be able to maintain schematic integrity through consistent communication with Retail Supervisor and other retail personnelPOS PlacementHang shelf signs, place coupons on product, etc. as directed by clientCustomer RelationsMust have the ability to communicate effectively both internally to ASM management and externally with Customers who will verify work is completed correctlyDisplay BuildingAssemble cardboard displays for promotion of an item as directed by clientReporting AdministrationWill report daily into ASM’s web application each day’s activities and the work performedSupervisory Responsibilities Direct ReportsThis position does not have supervisory responsibilities for direct reports Indirect ReportsThis position does not have guidance or mentoring responsibilities for indirect reports Travel and/or Driving RequirementsTravel is not an essential duty and function of this job. Driving is an essential duty or function of this job.  ",Part-Time,High School Diploma
34530,Electronic Assembler,QTI Group,Middleton,Wisconsin,"
We are seeking electronic assemblers for a well- established, manufacturing company in Middleton! Apply today!  The hours for these openings are Monday- Thursday 5:00 AM- 3:00 PM.
Responsibilities


Build electronic assemblies with SMT and through-hole components 

Surface mount manufacturing (automated and manual) 

Set-up, operation, and adjustment of SMT equipment 

Monitor and maintain equipment to meet company standards 

Visual inspection, wave soldering, hand soldering, post-wave assembly, and functional testing of all types of electronic assemblies
Qualifications


Superior attention to detail 

Positive attitude and willingness to learn 

Moderate computer skills 

Prior electronic assembly and soldering skills 

Good manual dexterity 

HS diploma or equivalent

Reference code: MMIS-75947CB
                
                ",Seasonal/Temp,High School Diploma
55783,Physical Therapist AND Occupational Therapist Needed,Private Outpatient Clinic,Marlton,New Jersey,"A private Physical Therapist owned practice is growing and looking to hire fulltime AND part time Physical Therapists and Occupational Therapists!&nbsp;

This would be an opportunity to provide physical and occupational therapy services for an aging population BUT within an outpatient setting- an Adult Day Care Facility.&nbsp;

Physical Therapists will work with clients to build strength, endurance, muscle tone, range of motion, etc, all to regain/maintain ability to perform daily living tasks.&nbsp;

Occupational Therapists will work on functional therapy with their clients to become/maintain as independent as possible.&nbsp;

Schedules for Physical and Occupational Therapists are Monday through Friday, with flexible start and end times. 

Physical and Occupational Therapists works autonomously and must be responsible for seeing their assigned patient caseload every day/week. You decide when you start and when you're done. Most therapists work from 9:00 AM to&nbsp;3:30 PM, but you can start earlier or later, as long as your patients are treated. This is a great schedule for parents!

Typical caseload would be about 8 patients per day.&nbsp;

Facility has sister sites in neighboring towns. Physical and Occupational Therapists may be required to work in more than one building. You can still decide your own schedule. Some therapists split their day between two buildings, and other therapists divide their weeks between the two buildings.&nbsp;

Documentation is electronic.&nbsp;

&nbsp;Each facility has a Director of Rehab, which will be a Physical Therapist or Occupational Therapist, with an additional Physical Therapist, Occupational Therapist and Speech Language Pathologist, providing a nice multidisciplinary team.&nbsp;

This position is perfect for someone who wants flexibility and autonomy!

Full benefits Include:
2 weeks of vacation
6 Paid Holidays
Medical/Dental/Vision/Prescription
401K
Assistance with Continuing Education

32 hours is considered fulltime! You may only work 32 hours, but you're paid for 40 hours!

CareerBuilder Related Terms
Physical Therapy, Physical Therapist, Occupational Therapy, Occupational Therapist, OT, PT, outpatient, Medicare, homecare, In home health, Assisted Living, ALF, Adult Day Care Facility, Continuing Care Retirement Community,&nbsp;",Full-Time/Part-Time,Not Specified
13361,Dual Assistant Retail Manager (Part-Time),Target Portrait Studios,Van Nuys,California,"
Have a passion for leadership, sales and photography?&nbsp;&nbsp;&nbsp;
Picture yourself here&hellip;&nbsp;
Join the Target Portrait Studio&nbsp;team as Dual&nbsp;Assistant Studio Manager (Dual Assistant Retail Manager).&nbsp; 

&nbsp;We&rsquo;ll teach you what you need to know: photography, sales, recruiting, training and developing your team. Lead a team and manage a business that provides valuable memory keepsakes and service to our customers. If you enjoy sales, leadership, customer service, as well as working with infants, children and adults, this could be the job for you!&nbsp; 
&nbsp;
Position summary:&nbsp; 
Looking to broaden your sales and management skills? Explore your career potential managing a business that provides a meaningful product and service to our guests &ndash; professional studio photography!&nbsp; We are seeking a leader to help manage a studio business and its photography team.&nbsp; You&rsquo;ve never used professional camera equipment before?&nbsp; We&rsquo;ll teach you what you need to know: photography, sales, recruiting, training and developing your team.&nbsp; 
&nbsp;
Dual Studio Managers support the Dual Studio Manager in managing the operation and staff of a portrait studio(s) in a host environment. They help drive the studio&rsquo;s ability to achieve results and grow by providing remarkable customer service throughout the photographic, sales and portrait delivery experience. Following Camera Room Expectations and Posing Guidelines, they capture portraits to maximize the sales average and exceed the customer&rsquo;s expectations. Dual Assistant Studio Managers follow established operational processes (e.g., selling, photographing) and help the Dual Studio Manager ensure studio compliance. They represent the studio and Lifetouch in a professional and positive manner while demonstrating concern for the safety of our customers (infants, children and adults) by following established safety procedures and practices.
&nbsp;",Part-Time,High School Diploma
41029,Recruiter,Dunbar Armored,Hunt Valley,Maryland,"The Recruiter ensures that staffing levels and needs are maintained for branch operations located throughout the Texas region.  The ideal candidate will identify, develop, implement, evaluate, measure, and improve the recruiting process for non-exempt and exempt positions. This position reports to the Director of Recruitment and is based at our Corporate HeadquartersKEY RESPONSIBILITIES:•Creates new, innovative methods to improve the recruitment process to continually improve the applicant experience. •Actively source for quality candidates and screen resumes in order to present qualified candidates to Branch Management.•Conduct both phone and in-person interviews in order to develop a broad understanding of the candidate’s experience and skills.•Create a welcoming environment that embodies the company culture while facilitating the interviewing process.   •Achieves measurable results that demonstrate improvement in hiring ratio and retention.•Build relationships with local colleges and universities by attending career events, job fairs, and on campus interview opportunities.•Attend Military and diversity career events, as needed.•Establishes an effective and efficient working relationship with branch management and employeesSKILLS AND SPECIFICATIONS:•Bachelor’s degree in Business Administration, Human Resources or related field or equivalent related work experience.•2 – 4 years related experience in a staffing role within a manufacturing, transportation, industrial or like environment preferred.•Proven track record of innovative methods to recruit the targeted workforce and creative methods to recruit that resulted in turnover reduction.  •Self-motivated and able to work independently.•Requires travel to other facilities and branches for meetings and/or Company business.• Bilingual (Spanish) preferredDunbar is proud to be an Equal Opportunity Employer-Minority/Female/Disabled/Veteran.  All qualified applicants will be considered for employment without regard to their race, gender, religion, disability, veteran or other protected status. We are committed to providing reasonable accommodation to applicants with disabilities.  If you require a reasonable accommodation to apply for a position with Dunbar, please call our headquarters office at (800) 888-2129 and let us know the nature of your request and your contact information.  Reasonable accommodations are considered on a case-by-case basis.",Full-Time/Part-Time,Bachelor's Degree
39733,Customer Service Representative,OfficeTeam,Farmington,Connecticut,"Ref ID: 00701-106670Classification: Customer ServiceCompensation: DOEOfficeTeam currently has an opportunity of a customer service representative to work in a call center. In this position, the customer service representatives will be responsible for fielding inbound calls, troubleshooting issues, answering various questions, providing updates, documenting calls, filing, sending mailings, and project support. Call volume in this position will be somewhere around 20-30 calls per hour. The ideal customer service representative would be one who has three or more recent years of experience working within a call center, and be able to learn a new database quickly. Please apply today!!!!",Seasonal/Temp,Not Specified
32366,Marketing Assistant,OfficeTeam,Santa Maria,California,"Ref ID: 01260-120034Classification: Secretary/Admin AsstCompensation: $15.84 to $18.34 per hourLocal growing and exciting company is looking for a Marketing Coordinator to handle a wide variety of marketing duties to assist the marketing team. The marketing coordinator will be responsible for updating information in the system related to marketing, create email marketing campaigns and assist the sales team, manage referrals for business, copywriting, assist in quality assurance measure, scheduling email marketing campaigns, participating in brainstorming sessions and other duties as assigned. The marketing coordinator must have a bachelors in marketing or similar field as well as experience working in Microsoft Office Suite, WordPress or content management systems, HTML and a basic understanding of email marketing. If you think this position sounds like a great fit please apply today!",Seasonal/Temp,Not Specified
33693,Flight Coordinator (PT no Benefits),Mountain States Health Alliance,Johnson City,Tennessee,"

The Flight Coordinator is a licensed Emergency Medical Technician who provides communications skills for a high profile emergency medical service. The Flight Coordinator gathers and coordinates all information pertaining to a flight request and has many responsibilities inherent to the overall success of the daily operational logistics. In order to facilitate an accurate flight and ensure crew safety the Flight Coordinator utilizes radio and telecommunications equipment, a Computer Aided Dispatch system, map reading skills, geographical knowledge, weather reporting systems, and flight following procedures. This position also requires the ability to adapt to new environments quickly, be able to work well under stressful conditions, and capable of handling multiple tasks at once.




MSHA expects all team members to support the VOS initiative by demonstrating awareness of the VOS system and effectively applying it to his/her work.

Job duties of this position may require access to protected patient information (PHI). The team member will be accountable for appropriate use of the record and compliance with all confidentiality and security policy and procedures related to use, access, and disclosure of PHI.

REPORTING RELATIONSHIP
This position directly reports to the Wings Flight Coordinator Lead, the MCC Manager, and to follow Chain of Command.
",Part-Time,High School Diploma
